,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
237801,2829838,215354,-12,48.0,30.0,Active,0,0
401194,1130982,215354,-10,6.0,5.0,Active,0,0
727403,2829838,215354,-24,48.0,42.0,Active,0,0
1135611,2829838,215354,-5,48.0,23.0,Active,0,0
1274888,2829838,215354,-23,48.0,41.0,Active,0,0
1687741,1362380,215354,-79,8.0,3.0,Active,0,0
2048854,2829838,215354,-7,48.0,25.0,Active,0,0
2087412,1362380,215354,-77,8.0,1.0,Active,0,0
2090392,2829838,215354,-6,48.0,24.0,Active,0,0
2415721,2829838,215354,-11,48.0,29.0,Active,0,0
2583118,2829838,215354,-13,48.0,31.0,Active,0,0
2644381,2829838,215354,-21,48.0,39.0,Active,0,0
2768091,2829838,215354,-3,48.0,21.0,Active,0,0
3017140,2829838,215354,-4,48.0,22.0,Active,0,0
3018130,2829838,215354,-18,48.0,36.0,Active,0,0
3019304,2829838,215354,-10,48.0,28.0,Active,0,0
3079048,2829838,215354,-9,48.0,27.0,Active,0,0
3142902,2829838,215354,-15,48.0,33.0,Active,0,0
3308912,2829838,215354,-19,48.0,37.0,Active,0,0
3311567,2829838,215354,-14,48.0,32.0,Active,0,0
3423721,2829838,215354,-25,48.0,43.0,Active,0,0
3447604,2829838,215354,-20,48.0,38.0,Active,0,0
3604574,2829838,215354,-1,48.0,19.0,Active,0,0
3710204,1362380,215354,-80,8.0,4.0,Active,0,0
3777517,2829838,215354,-8,48.0,26.0,Active,0,0
3978019,1362380,215354,-76,8.0,0.0,Completed,0,0
4102340,2829838,215354,-2,48.0,20.0,Active,0,0
4102945,1130982,215354,-11,6.0,6.0,Active,0,0
4226722,2829838,215354,-30,48.0,48.0,Active,0,0
4355326,1362380,215354,-83,8.0,7.0,Active,0,0
4374636,1362380,215354,-81,8.0,5.0,Active,0,0
4376071,2829838,215354,-28,48.0,46.0,Active,0,0
4802353,1362380,215354,-84,8.0,8.0,Active,0,0
4802642,2829838,215354,-26,48.0,44.0,Active,0,0
4863645,2829838,215354,-27,48.0,45.0,Active,0,0
5329058,2829838,215354,-29,48.0,47.0,Active,0,0
6039050,1362380,215354,-78,8.0,2.0,Active,0,0
6359500,1927804,215354,-1,36.0,29.0,Active,0,0
6476128,1130982,215354,-7,6.0,2.0,Active,0,0
6544342,1130982,215354,-8,6.0,3.0,Active,0,0
6693033,2829838,215354,-17,48.0,35.0,Active,0,0
7834979,1927804,215354,-7,36.0,35.0,Active,0,0
8005847,2829838,215354,-16,48.0,34.0,Active,0,0
8330209,1927804,215354,-6,36.0,34.0,Active,0,0
8473425,2829838,215354,-22,48.0,40.0,Active,0,0
8588223,1130982,215354,-6,5.0,0.0,Completed,0,0
8923143,1362380,215354,-82,8.0,6.0,Active,0,0
8947494,1130982,215354,-9,6.0,4.0,Active,0,0
8956465,1927804,215354,-3,36.0,31.0,Active,0,0
9031065,1927804,215354,-2,36.0,30.0,Active,0,0
9057632,1927804,215354,-5,36.0,33.0,Active,0,0
9567069,1927804,215354,-4,36.0,32.0,Active,0,0
9778537,1927804,215354,-8,36.0,36.0,Active,0,0
