,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
263052,2340808,215354,-22,424505.025,450000,279000.0,279000.0,0.0,0.0,7604.01,30105.0,10907.235,415455.3,424689.12,424689.12,4.0,4,0.0,0.0,6.0,Active,0,0
378636,2340808,215354,-19,133842.15,450000,0.0,0.0,0.0,0.0,21943.53,0.0,0.0,123870.285,133842.15,133842.15,0.0,0,0.0,0.0,9.0,Active,0,0
384765,2340808,215354,-24,146877.66,450000,135000.0,150150.51,0.0,15150.51,8932.23,200308.5,193421.475,144740.835,147896.73,147896.73,1.0,9,0.0,8.0,4.0,Active,0,0
400185,2340808,215354,-21,440171.19,450000,0.0,0.0,0.0,0.0,19197.765,0.0,0.0,415455.3,440171.19,440171.19,0.0,0,0.0,0.0,7.0,Active,0,0
415088,2340808,215354,-3,370571.985,450000,270000.0,270000.0,0.0,0.0,4366.935,22500.0,2040.435,364190.85,370571.985,370571.985,2.0,2,0.0,0.0,25.0,Active,0,0
426146,2340808,215354,-29,1345.5,450000,135000.0,135000.0,0.0,0.0,,137025.0,137025.0,0.0,0.0,0.0,1.0,1,0.0,0.0,,Active,0,0
470554,2340808,215354,-25,191860.92,450000,0.0,13107.78,0.0,13107.78,4824.27,4950.0,4950.0,177582.24,191860.92,191860.92,0.0,3,0.0,3.0,3.0,Active,0,0
489652,2340808,215354,-7,383473.665,450000,0.0,90000.0,0.0,90000.0,13186.17,13500.0,13500.0,367223.4,380646.045,380646.045,0.0,1,0.0,1.0,21.0,Active,0,0
577265,2340808,215354,-20,129216.735,450000,9000.0,9000.0,0.0,0.0,21670.92,336825.0,314881.47,123870.285,132455.295,132455.295,2.0,2,0.0,0.0,8.0,Active,0,0
910250,2340808,215354,-2,407511.405,450000,0.0,0.0,0.0,0.0,20459.565,0.0,0.0,386690.85,404533.89,404533.89,0.0,0,0.0,0.0,26.0,Active,0,0
