,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
152816,2396755,100003,-66,12.0,1.0,Active,0,0
367237,2636178,100003,-23,6.0,1.0,Active,0,0
513222,1038818,100002,-13,24.0,18.0,Active,0,0
1216849,1038818,100002,-16,24.0,21.0,Active,0,0
1248580,1810518,100003,-23,12.0,10.0,Active,0,0
1278613,1810518,100003,-25,12.0,12.0,Active,0,0
1822464,2396755,100003,-67,12.0,2.0,Active,0,0
1827209,2396755,100003,-72,12.0,7.0,Active,0,0
1834190,1564014,100004,-25,4.0,2.0,Active,0,0
2012884,1038818,100002,-18,24.0,23.0,Active,0,0
2163474,2396755,100003,-71,12.0,6.0,Active,0,0
2446580,1564014,100004,-24,3.0,0.0,Completed,0,0
2457763,2396755,100003,-70,12.0,5.0,Active,0,0
2582345,2396755,100003,-68,12.0,3.0,Active,0,0
2945913,1810518,100003,-21,12.0,8.0,Active,0,0
3580739,2396755,100003,-76,12.0,11.0,Active,0,0
3683547,2396755,100003,-69,12.0,4.0,Active,0,0
3969672,1810518,100003,-20,12.0,7.0,Active,0,0
4197913,2636178,100003,-24,6.0,2.0,Active,0,0
4358911,2396755,100003,-73,12.0,8.0,Active,0,0
4887765,1810518,100003,-19,12.0,6.0,Active,0,0
4887970,1810518,100003,-24,12.0,11.0,Active,0,0
5208748,1564014,100004,-27,4.0,4.0,Active,0,0
5210589,2636178,100003,-26,6.0,4.0,Active,0,0
5258607,1038818,100002,-17,24.0,22.0,Active,0,0
5329936,2396755,100003,-74,12.0,9.0,Active,0,0
5467865,1810518,100003,-18,7.0,0.0,Completed,0,0
6030254,2636178,100003,-21,6.0,0.0,Completed,0,0
6400437,1564014,100004,-26,4.0,3.0,Active,0,0
6413902,1810518,100003,-22,12.0,9.0,Active,0,0
6543835,1038818,100002,-5,24.0,10.0,Active,0,0
6626366,1038818,100002,-1,24.0,6.0,Active,0,0
6887574,2636178,100003,-25,6.0,3.0,Active,0,0
7403606,1038818,100002,-14,24.0,19.0,Active,0,0
7601963,1038818,100002,-10,24.0,15.0,Active,0,0
7606684,1038818,100002,-6,24.0,11.0,Active,0,0
7714429,1038818,100002,-4,24.0,9.0,Active,0,0
7873195,2396755,100003,-77,12.0,12.0,Active,0,0
8371562,2636178,100003,-22,6.0,0.0,Active,0,0
8372804,2636178,100003,-27,6.0,5.0,Active,0,0
8473918,1038818,100002,-19,24.0,24.0,Active,0,0
8701895,1038818,100002,-11,24.0,16.0,Active,0,0
9123271,2396755,100003,-75,12.0,10.0,Active,0,0
9228061,1038818,100002,-12,24.0,17.0,Active,0,0
9469094,2636178,100003,-28,6.0,6.0,Active,0,0
9510102,1038818,100002,-9,24.0,14.0,Active,0,0
9514583,1038818,100002,-8,24.0,13.0,Active,0,0
9517658,1038818,100002,-7,24.0,12.0,Active,0,0
9792215,1038818,100002,-3,24.0,8.0,Active,0,0
9793374,1038818,100002,-2,24.0,7.0,Active,0,0
9849444,1038818,100002,-15,24.0,20.0,Active,0,0
