,SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
363104,100004,6829133,Closed,currency 1,-1326,0,-595.0,-683.0,,0,94500.0,0.0,0.0,0.0,Consumer credit,-682,
363105,100004,6829134,Closed,currency 1,-408,0,-382.0,-382.0,0.0,0,94537.8,0.0,0.0,0.0,Consumer credit,-382,
420732,100011,5741082,Closed,currency 1,-2508,0,-2173.0,-2197.0,10147.23,0,90744.3,0.0,0.0,0.0,Consumer credit,-2172,
420733,100011,5741083,Closed,currency 1,-1960,0,-860.0,-1618.0,0.0,0,54000.0,0.0,0.0,0.0,Credit card,-1618,
420734,100011,5741084,Closed,currency 1,-1309,0,-1070.0,-1070.0,,0,145242.0,0.0,0.0,0.0,Consumer credit,-1064,
420735,100011,5741085,Closed,currency 1,-1315,0,-1070.0,-968.0,,0,145242.0,,,0.0,Consumer credit,-965,
564533,100009,5651008,Closed,currency 1,-1259,0,-1080.0,-986.0,,0,114799.5,,,0.0,Consumer credit,-983,
675684,100002,6158904,Closed,currency 1,-1125,0,-1038.0,-1038.0,,0,40761.0,,,0.0,Credit card,-1038,0.0
675685,100002,6158905,Closed,currency 1,-476,0,,-48.0,,0,0.0,0.0,,0.0,Credit card,-47,
675686,100002,6158906,Closed,currency 1,-1437,0,-1072.0,-1185.0,0.0,0,135000.0,0.0,0.0,0.0,Consumer credit,-1185,0.0
675687,100002,6158907,Closed,currency 1,-1121,0,-911.0,-911.0,3321.0,0,19071.0,,,0.0,Consumer credit,-906,0.0
675688,100002,6158908,Closed,currency 1,-645,0,85.0,-36.0,5043.645,0,120735.0,0.0,0.0,0.0,Consumer credit,-34,0.0
675689,100002,6158909,Active,currency 1,-103,0,,,40.5,0,31988.565,0.0,31988.565,0.0,Credit card,-24,0.0
718761,100008,6491433,Closed,currency 1,-1097,0,-853.0,-1028.0,,0,105705.0,0.0,0.0,0.0,Consumer credit,-1027,
718762,100008,6491434,Active,currency 1,-78,0,471.0,,0.0,0,267606.0,240057.0,0.0,0.0,Consumer credit,-16,
1024666,100003,5885877,Closed,currency 1,-2586,0,-2434.0,-2131.0,0.0,0,22248.0,0.0,0.0,0.0,Consumer credit,-2131,
1024667,100003,5885878,Closed,currency 1,-1636,0,-540.0,-540.0,0.0,0,112500.0,0.0,0.0,0.0,Credit card,-540,
1024668,100003,5885879,Closed,currency 1,-775,0,-420.0,-621.0,0.0,0,72652.5,0.0,0.0,0.0,Consumer credit,-550,
1024669,100003,5885880,Active,currency 1,-606,0,1216.0,,0.0,0,810000.0,0.0,810000.0,0.0,Credit card,-43,
1279712,100009,5650996,Closed,currency 1,-684,0,-313.0,-313.0,,0,61965.0,0.0,0.0,0.0,Consumer credit,-283,
1279713,100009,5650997,Closed,currency 1,-782,0,1044.0,-415.0,,0,351000.0,0.0,0.0,0.0,Consumer credit,-375,
1279714,100009,5650998,Closed,currency 1,-1428,0,-1245.0,-1244.0,,0,93465.0,0.0,0.0,0.0,Consumer credit,-782,
1279715,100009,5650999,Closed,currency 1,-1241,0,-1056.0,-1055.0,,0,37710.0,0.0,0.0,0.0,Consumer credit,-1055,
1279716,100009,5651000,Closed,currency 1,-1686,0,139.0,-819.0,,0,1777500.0,0.0,0.0,0.0,Consumer credit,-591,
1279717,100009,5651002,Closed,currency 1,-1765,0,-1581.0,-1580.0,,0,66825.0,0.0,0.0,0.0,Consumer credit,-1549,
1279718,100009,5651003,Active,currency 1,-239,0,-209.0,,,0,337500.0,326628.0,0.0,0.0,Credit card,-86,
1279719,100009,5651004,Active,currency 1,-424,0,1402.0,,,0,642861.0,557959.5,0.0,0.0,Consumer credit,-27,
1279720,100009,5651005,Closed,currency 1,-2882,0,-2152.0,-2152.0,,0,247500.0,,,0.0,Consumer credit,-2152,
1279721,100009,5651006,Closed,currency 1,-1427,0,-1245.0,-1245.0,,0,93465.0,0.0,,0.0,Consumer credit,-1127,
1279722,100009,5651007,Closed,currency 1,-1879,0,-1699.0,-986.0,,0,97978.5,,,0.0,Consumer credit,-983,
1279723,100009,5651009,Active,currency 1,-1293,0,,,,0,187200.0,0.0,,0.0,Credit card,-847,
1279724,100009,5651010,Active,currency 1,-411,0,,,,0,360000.0,192762.0,,0.0,Consumer credit,-23,
1279725,100009,5651011,Closed,currency 1,-2018,0,-1774.0,-1774.0,0.0,0,35770.5,0.0,0.0,0.0,Consumer credit,-1518,
1279726,100009,5651012,Closed,currency 1,-1609,0,-1517.0,-1517.0,0.0,0,100665.0,0.0,0.0,0.0,Consumer credit,-1517,
1279727,100009,5651013,Closed,currency 1,-1133,0,-951.0,-951.0,0.0,0,83952.0,,,0.0,Consumer credit,-949,
1279728,100009,5651014,Closed,currency 1,-727,0,-482.0,-482.0,0.0,0,110655.0,0.0,0.0,0.0,Consumer credit,-482,
1337779,100002,6158903,Active,currency 1,-1042,0,780.0,,,0,450000.0,245781.0,0.0,0.0,Consumer credit,-7,0.0
1421814,100005,6735200,Closed,currency 1,-373,0,-128.0,-123.0,,0,58500.0,0.0,0.0,0.0,Credit card,-121,0.0
1421815,100005,6735201,Active,currency 1,-137,0,1324.0,,,0,568800.0,543087.0,0.0,0.0,Consumer credit,-11,0.0
1421816,100005,6735202,Active,currency 1,-62,0,122.0,,0.0,0,29826.0,25321.5,0.0,0.0,Consumer credit,-31,4261.5
1486113,100002,6113835,Closed,currency 1,-1043,0,62.0,-967.0,0.0,0,67500.0,,,0.0,Credit card,-758,0.0
