,SK_ID_BUREAU,MONTHS_BALANCE,STATUS
13472782,6158904,-15,C
13472783,6158904,-16,C
13472784,6158904,-17,0
13472785,6158904,-18,0
13472786,6158904,-19,0
13472787,6158904,-20,1
13472788,6158904,-21,0
13472789,6158904,-22,0
13472790,6158904,-23,0
13472791,6158904,-24,0
13472792,6158904,-25,0
13472793,6158904,-26,0
13472794,6158904,-27,0
13472795,6158904,-28,0
13472796,6158904,-29,0
13472797,6158904,-30,0
13472798,6158904,-31,0
13472799,6158904,-32,0
13472800,6158904,-33,0
13472801,6158904,-34,0
13472802,6158904,-35,0
13472803,6158904,-36,X
13472804,6158905,0,C
13472805,6158905,-1,C
13472806,6158905,-2,C
13472807,6158905,-3,C
13472808,6158905,-4,C
13472809,6158905,-5,C
13472810,6158905,-6,C
13472811,6158905,-7,C
13472812,6158905,-8,C
13472813,6158905,-9,C
13472814,6158905,-10,C
13472815,6158905,-11,C
13472816,6158905,-12,C
13472817,6158905,-13,0
13472818,6158905,-14,0
13472819,6158905,-15,0
13472820,6158906,-32,C
13472821,6158906,-33,C
13472822,6158906,-34,1
13472823,6158906,-35,1
13472824,6158906,-36,0
13472825,6158906,-37,1
13472826,6158906,-38,1
13472827,6158906,-39,X
13472828,6158906,-40,1
13472829,6158906,-41,1
13472830,6158906,-42,0
13472831,6158906,-43,0
13472832,6158906,-44,0
13472833,6158906,-45,0
13472834,6158906,-46,X
13472835,6158906,-47,X
13472836,6158907,-21,C
13472837,6158907,-22,C
13472838,6158907,-23,1
13472839,6158907,-24,1
13472840,6158907,-25,0
13472841,6158907,-26,1
13472842,6158907,-27,1
13472843,6158907,-28,X
13472844,6158907,-29,1
13472845,6158907,-30,1
13472846,6158907,-31,0
13472847,6158907,-32,0
13472848,6158907,-33,0
13472849,6158907,-34,0
13472850,6158907,-35,X
13472851,6158907,-36,X
13472852,6158908,-18,0
13472853,6158908,-19,1
13472854,6158908,-20,1
13472855,6158908,-21,0
13472856,6158909,0,0
13472857,6158909,-1,0
13472858,6158909,-2,X
13472859,6158909,-3,X
19443472,6158903,-19,C
19443473,6158903,-20,C
19443474,6158903,-21,1
19443475,6158903,-22,1
19443476,6158903,-23,0
19443477,6158903,-24,1
19443478,6158903,-25,1
19443479,6158903,-26,X
19443480,6158903,-27,1
19443481,6158903,-28,1
19443482,6158903,-29,0
19443483,6158903,-30,0
19443484,6158903,-31,0
19443485,6158903,-32,0
19443486,6158903,-33,X
19443487,6158903,-34,X
22638277,6113835,-19,C
22638278,6113835,-20,C
22638279,6113835,-21,1
22638280,6113835,-22,1
22638281,6113835,-23,0
22638282,6113835,-24,1
22638283,6113835,-25,1
22638284,6113835,-26,X
22638285,6113835,-27,1
22638286,6113835,-28,1
22638287,6113835,-29,0
22638288,6113835,-30,0
22638289,6113835,-31,0
22638290,6113835,-32,0
22638291,6113835,-33,X
22638292,6113835,-34,X
