,SK_ID_BUREAU,MONTHS_BALANCE,STATUS
473690,5892290,-16,X
473691,5892290,-17,1
473692,5892290,-18,0
473693,5892290,-19,1
473694,5892290,-20,0
473695,5892291,-12,X
473696,5892291,-13,1
473697,5892291,-14,0
473698,5892291,-15,1
473699,5892291,-16,0
1165544,5790310,0,C
1165545,5790310,-1,C
1165546,5790310,-2,C
1165547,5790310,-3,C
1165548,5790310,-4,C
1165549,5790310,-5,C
1165550,5790310,-6,C
1165551,5790310,-7,C
1165552,5790310,-8,C
1165553,5790310,-9,C
1165554,5790310,-10,C
1165555,5790310,-11,C
1165556,5790310,-12,0
1165557,5790310,-13,X
1165558,5790310,-14,0
1165559,5790310,-15,X
1165560,5790311,0,C
1165561,5790311,-1,C
1165562,5790311,-2,C
1165563,5790311,-3,C
1165564,5790311,-4,C
1165565,5790311,-5,C
1165566,5790311,-6,C
1165567,5790311,-7,C
1165568,5790311,-8,C
1165569,5790311,-9,C
1165570,5790311,-10,C
1165571,5790311,-11,X
1165572,5790311,-12,1
1165573,5790311,-13,X
1165574,5790311,-14,0
1165575,5790311,-15,X
1165576,5790311,-16,X
1165577,5790311,-17,X
1165578,5790311,-18,0
1165579,5790311,-19,0
1165580,5790311,-20,0
1165581,5790311,-21,X
1165582,5790311,-22,0
1165583,5790312,0,X
1165584,5790312,-1,X
1165585,5790312,-2,X
1165586,5790312,-3,X
1165587,5790312,-4,X
1165588,5790312,-5,X
1165589,5790312,-6,X
1165590,5790312,-7,0
1165591,5790312,-8,0
1165592,5790312,-9,X
1165593,5790312,-10,0
1165594,5790312,-11,X
1165595,5790312,-12,0
1165596,5790312,-13,X
1165597,5790312,-14,0
1165598,5790312,-15,X
1165599,5790312,-16,X
1427032,5004963,0,C
1427033,5004963,-1,C
1427034,5004963,-2,C
1427035,5004963,-3,C
1427036,5004963,-4,C
1427037,5004963,-5,0
1427038,5004963,-6,0
1427039,5004963,-7,0
1427040,5004963,-8,0
1427041,5004963,-9,0
1427042,5004963,-10,0
1427043,5004963,-11,0
1427044,5004964,0,C
1427045,5004964,-1,C
1427046,5004964,-2,C
1427047,5004964,-3,C
1427048,5004964,-4,C
1427049,5004964,-5,C
1427050,5004964,-6,C
1427051,5004964,-7,C
1427052,5004964,-8,C
1427053,5004964,-9,C
1427054,5004964,-10,C
1427055,5004964,-11,C
1427056,5004964,-12,C
1427057,5004964,-13,C
1427058,5004964,-14,C
1427059,5004964,-15,X
1427060,5004964,-16,X
1427061,5004964,-17,0
1427062,5004964,-18,0
1427063,5004964,-19,0
1427064,5004964,-20,X
1427065,5004964,-21,0
1427066,5004964,-22,0
1427067,5004964,-23,0
1427068,5004964,-24,X
1427069,5004964,-25,0
1427070,5004964,-26,X
1427071,5004964,-27,0
1427072,5004964,-28,X
1427073,5004964,-29,0
1427074,5004964,-30,X
1427075,5004964,-31,0
1427076,5004964,-32,0
1427077,5004964,-33,X
1427078,5004964,-34,0
1427079,5004964,-35,X
1427080,5004964,-36,0
1427081,5004964,-37,0
1427082,5004964,-38,X
1427083,5004964,-39,0
1427084,5004964,-40,X
1427085,5004964,-41,0
1427086,5004964,-42,X
1427087,5004964,-43,0
1427088,5004964,-44,0
1427089,5004964,-45,X
1427090,5004964,-46,X
1427091,5004964,-47,0
1427092,5004964,-48,X
1427093,5004964,-49,X
1427094,5004965,0,C
1427095,5004965,-1,C
1427096,5004965,-2,C
1427097,5004965,-3,C
1427098,5004965,-4,C
1427099,5004965,-5,0
1427100,5004965,-6,0
1427101,5004965,-7,0
1427102,5004965,-8,X
1427103,5004965,-9,0
1427104,5004965,-10,X
1427105,5004965,-11,X
1427106,5004966,0,C
1427107,5004966,-1,C
1427108,5004966,-2,C
1427109,5004966,-3,C
1427110,5004966,-4,C
1427111,5004966,-5,C
1427112,5004966,-6,C
1427113,5004966,-7,C
1427114,5004966,-8,C
1427115,5004966,-9,C
1427116,5004966,-10,C
1427117,5004966,-11,C
1427118,5004966,-12,C
1427119,5004966,-13,C
1427120,5004966,-14,0
1427121,5004966,-15,0
1427122,5004966,-16,0
1427123,5004966,-17,0
1427124,5004966,-18,0
1427125,5004966,-19,0
1427126,5004966,-20,0
1427127,5004966,-21,0
1427128,5004966,-22,0
1427129,5004966,-23,0
1427130,5004966,-24,0
1427131,5004966,-25,0
1427132,5004967,0,C
1427133,5004967,-1,C
1427134,5004967,-2,C
1427135,5004967,-3,C
1427136,5004967,-4,C
1427137,5004967,-5,C
1427138,5004967,-6,C
1427139,5004967,-7,C
1427140,5004967,-8,C
1427141,5004967,-9,C
1427142,5004967,-10,C
1427143,5004967,-11,C
1427144,5004967,-12,C
1427145,5004967,-13,C
1427146,5004967,-14,C
1427147,5004967,-15,C
1427148,5004967,-16,C
1427149,5004967,-17,C
1427150,5004967,-18,C
1427151,5004967,-19,C
1427152,5004967,-20,C
1427153,5004967,-21,C
1427154,5004967,-22,C
1427155,5004967,-23,C
1427156,5004967,-24,C
1427157,5004967,-25,C
1427158,5004967,-26,C
1427159,5004967,-27,C
1427160,5004967,-28,C
1427161,5004967,-29,0
1427162,5004967,-30,0
1427163,5004967,-31,0
1427164,5004967,-32,0
1427165,5004967,-33,0
1427166,5004967,-34,0
1427167,5004967,-35,0
1427168,5004967,-36,0
1427169,5004967,-37,0
1427170,5004967,-38,0
1427171,5004967,-39,0
1427172,5004967,-40,0
1427173,5004967,-41,0
1427174,5004967,-42,0
1427175,5004967,-43,0
1427176,5004967,-44,0
1427177,5004967,-45,0
1427178,5004967,-46,0
1427179,5004967,-47,0
1427180,5004967,-48,0
1427181,5004967,-49,0
1427182,5004967,-50,0
1678990,6363403,0,X
1678991,6363403,-1,X
1678992,6363403,-2,X
1678993,6363403,-3,X
1678994,6363403,-4,X
1678995,6363403,-5,X
1678996,6363403,-6,X
1678997,6363403,-7,X
1678998,6363403,-8,X
1678999,6363403,-9,X
1679000,6363403,-10,X
1679001,6363403,-11,X
1679002,6363403,-12,X
1679003,6363403,-13,X
1679004,6363403,-14,X
1679005,6363403,-15,X
1679006,6363403,-16,X
1679007,6363403,-17,X
1679008,6363403,-18,X
1679009,6363403,-19,X
1679010,6363403,-20,X
1679011,6363403,-21,X
1679012,6363403,-22,X
1679013,6363403,-23,X
1679014,6363403,-24,X
1679015,6363403,-25,X
1679016,6363403,-26,X
1679017,6363403,-27,X
1679018,6363403,-28,X
1679019,6363403,-29,X
1679020,6363403,-30,X
1679021,6363403,-31,X
1679022,6363403,-32,X
1679023,6363403,-33,X
1679024,6363403,-34,X
1679025,6363403,-35,X
1679026,6363403,-36,X
1679027,6363403,-37,X
1679028,6363403,-38,X
1679029,6363403,-39,X
1679030,6363403,-40,X
1679031,6363403,-41,X
1679032,6363403,-42,X
1679033,6363403,-43,X
1679034,6363403,-44,X
1679035,6363403,-45,X
1679036,6363403,-46,X
1679037,6363403,-47,X
1679038,6363403,-48,X
1679039,6363403,-49,X
1679040,6363403,-50,X
1679041,6363403,-51,X
1679042,6363403,-52,X
1679043,6363403,-53,X
1679044,6363403,-54,X
1679045,6363403,-55,X
1679046,6363403,-56,X
1679047,6363403,-57,X
1679048,6363403,-58,X
1679049,6363403,-59,X
1679050,6363403,-60,X
1679051,6363403,-61,X
1679052,6363403,-62,X
1679053,6363403,-63,X
1679054,6363403,-64,X
1679055,6363403,-65,X
1679056,6363403,-66,X
1679057,6363403,-67,X
1679058,6363403,-68,X
1679059,6363403,-69,X
1679060,6363403,-70,X
1679061,6363403,-71,X
1679062,6363403,-72,X
1679063,6363403,-73,X
1679064,6363403,-74,X
1679065,6363403,-75,X
1679066,6363403,-76,X
1679067,6363403,-77,X
1679068,6363403,-78,X
1679069,6363403,-79,X
1679070,6363403,-80,X
1679071,6363403,-81,X
1679072,6363403,-82,X
1679073,6363403,-83,X
1679074,6363403,-84,X
1679075,6363403,-85,X
1679076,6363403,-86,X
1679077,6363403,-87,X
1679078,6363403,-88,X
1679079,6363404,0,C
1679080,6363404,-1,C
1679081,6363404,-2,C
1679082,6363404,-3,C
1679083,6363404,-4,C
1679084,6363404,-5,C
1679085,6363404,-6,C
1679086,6363404,-7,C
1679087,6363404,-8,C
1679088,6363404,-9,C
1679089,6363404,-10,C
1679090,6363404,-11,C
1679091,6363404,-12,C
1679092,6363404,-13,C
1679093,6363404,-14,C
1679094,6363404,-15,C
1679095,6363404,-16,C
1679096,6363404,-17,C
1679097,6363404,-18,C
1679098,6363404,-19,C
1679099,6363404,-20,C
1679100,6363404,-21,C
1679101,6363404,-22,C
1679102,6363404,-23,C
1679103,6363404,-24,C
1679104,6363404,-25,C
1679105,6363404,-26,C
1679106,6363404,-27,C
1679107,6363404,-28,C
1679108,6363404,-29,C
1679109,6363404,-30,C
1679110,6363404,-31,C
1679111,6363404,-32,C
1679112,6363404,-33,C
1679113,6363404,-34,C
1679114,6363404,-35,C
1679115,6363404,-36,C
1679116,6363404,-37,C
1679117,6363404,-38,C
1679118,6363404,-39,C
1679119,6363404,-40,C
1679120,6363404,-41,C
1679121,6363404,-42,C
1679122,6363404,-43,C
1679123,6363404,-44,C
1679124,6363404,-45,C
1679125,6363404,-46,C
1679126,6363404,-47,C
1679127,6363404,-48,C
1679128,6363404,-49,C
1679129,6363404,-50,C
1679130,6363404,-51,C
1679131,6363404,-52,C
1679132,6363404,-53,C
1679133,6363404,-54,C
1679134,6363404,-55,C
1679135,6363404,-56,C
1679136,6363404,-57,C
1679137,6363404,-58,C
1679138,6363404,-59,C
1679139,6363404,-60,C
1679140,6363404,-61,C
1679141,6363404,-62,C
1679142,6363404,-63,C
1679143,6363404,-64,C
1679144,6363404,-65,C
1679145,6363404,-66,C
1679146,6363404,-67,C
1679147,6363404,-68,C
1679148,6363404,-69,C
1679149,6363404,-70,C
1679150,6363404,-71,C
1679151,6363404,-72,C
1679152,6363404,-73,C
1679153,6363404,-74,C
1679154,6363404,-75,C
1679155,6363404,-76,C
1679156,6363404,-77,C
1679157,6363404,-78,0
1679158,6363404,-79,0
1679159,6363404,-80,0
1679160,6363404,-81,0
1679161,6363404,-82,0
