,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
35799,1843384,100011,-48,75109.95,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,71127.36,75109.95,75109.95,0.0,0,0.0,0.0,27.0,Active,0,0
51047,1843384,100011,-4,0.0,90000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
131693,1843384,100011,-6,0.0,90000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
153898,1843384,100011,-54,104130.63,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,99744.615,104130.63,104130.63,0.0,0,0.0,0.0,21.0,Active,0,0
171273,1843384,100011,-18,0.0,180000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
184429,1843384,100011,-43,804.195,180000,0.0,0.0,0.0,0.0,9000.0,55485.0,55485.0,0.0,-563.355,-563.355,0.0,0,0.0,0.0,32.0,Active,0,0
187176,1843384,100011,-65,151067.115,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,145960.74,151067.115,151067.115,0.0,0,0.0,0.0,10.0,Active,0,0
234045,1843384,100011,-14,0.0,90000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
385194,1843384,100011,-24,0.0,180000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
388643,1843384,100011,-30,0.0,180000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
