,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1425,1060558,100048,-2,27302.4,225000,27000.0,27000.0,0.0,0.0,0.0,1458.27,1458.27,25541.73,25956.9,25956.9,1.0,1,0.0,0.0,17.0,Active,0,0
3499,1787234,100059,-4,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Completed,0,0
12339,1595956,100100,-12,0.0,45000,0.0,0.0,0.0,0.0,0.0,483.345,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,58.0,Active,0,0
14753,2038692,100013,-70,101830.86,157500,0.0,0.0,0.0,0.0,7875.0,22500.0,22500.0,97686.585,101830.86,101830.86,0.0,0,0.0,0.0,14.0,Active,0,0
15110,2038692,100013,-12,0.0,45000,0.0,0.0,0.0,0.0,0.0,274.32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,Active,0,0
17001,1856124,100086,-16,0.0,112500,0.0,0.0,0.0,0.0,0.0,414.54,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,Active,0,0
17338,2628319,100082,-42,0.0,135000,0.0,0.0,0.0,0.0,0.0,69.39,0.0,0.0,-69.39,-69.39,0.0,0,0.0,0.0,30.0,Active,0,0
35799,1843384,100011,-48,75109.95,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,71127.36,75109.95,75109.95,0.0,0,0.0,0.0,27.0,Active,0,0
42925,2038692,100013,-47,0.0,157500,0.0,0.0,0.0,0.0,0.0,274.32,0.0,0.0,-274.32,-274.32,0.0,0,0.0,0.0,22.0,Active,0,0
48603,2833536,100067,-67,41464.53,45000,0.0,0.0,0.0,0.0,2250.0,2250.0,2250.0,40084.74,41464.53,41464.53,0.0,0,0.0,0.0,19.0,Active,0,0
51047,1843384,100011,-4,0.0,90000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
56099,1565121,100083,-4,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
62934,1914954,100028,-26,6465.555,225000,0.0,0.0,0.0,0.0,2029.905,2250.0,2250.0,6110.055,6465.555,6465.555,0.0,0,0.0,0.0,15.0,Active,0,0
68402,1472630,100047,-19,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
70290,2444847,100090,-1,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
