,SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
208,2480304,100012,3.0,4,-387.0,-428.0,5242.86,5242.86
1800,2227125,100009,1.0,3,-214.0,-227.0,8821.26,8821.26
4306,1595956,100100,0.0,114,-243.0,-243.0,483.345,483.345
4656,2137382,100042,0.0,3,-2482.0,-2495.0,4500.0,4342.5
5751,2425354,100035,1.0,4,-1067.0,-1070.0,18201.645,18201.645
5878,1690355,100067,1.0,4,-8.0,-28.0,7893.225,7893.225
7695,1430602,100011,1.0,12,-2147.0,-1189.0,14588.55,449.685
9065,1008517,100066,1.0,11,-498.0,-510.0,7589.925,7589.925
13254,1179472,100088,1.0,4,-1415.0,-1435.0,15388.47,15388.47
13299,1448742,100097,1.0,2,-308.0,-321.0,10080.72,10080.72
13709,1810518,100003,1.0,2,-686.0,-690.0,98356.995,98356.995
14749,1950847,100061,1.0,10,-1272.0,-1270.0,6006.285,5860.35
17368,1562063,100017,1.0,13,-221.0,-231.0,11783.52,11783.52
19062,1914954,100028,0.0,43,-604.0,-604.0,85.455,85.455
19095,2333792,100077,1.0,2,-2411.0,-2388.0,15101.28,11.61
19235,2088496,100044,1.0,8,-2119.0,-2130.0,22962.33,22962.33
20457,1189316,100025,1.0,9,-1429.0,-1428.0,23833.575,23833.575
20548,2305060,100041,1.0,3,-1417.0,-1499.0,7297.515,7297.515
21697,2558764,100085,1.0,1,-1144.0,-1156.0,4550.265,4550.265
21831,2055750,100070,1.0,11,-1037.0,-1044.0,13879.26,13879.26
22620,1950709,100067,2.0,4,-472.0,-477.0,37375.83,37375.83
23748,1252218,100026,1.0,1,-1396.0,-1409.0,23608.485,23608.485
24659,2137382,100042,0.0,26,-2133.0,-2133.0,9000.0,9000.0
25561,1595956,100100,0.0,11,-2648.0,-2662.0,4500.0,4500.0
28654,1716930,100042,1.0,7,-1495.0,-1498.0,20150.55,20150.55
29845,1176822,100018,1.0,3,-1553.0,-1553.0,48759.525,48759.525
30275,2411919,100023,1.0,9,-1579.0,-1602.0,7992.0,7992.0
30586,2256622,100054,1.0,9,-205.0,-215.0,8896.23,8896.23
31143,1413109,100009,1.0,9,-178.0,-194.0,8996.76,8996.76
32411,1914954,100028,0.0,72,-105.0,-105.0,1.17,1.17
33052,1597345,100016,1.0,6,-2782.0,-2788.0,4886.505,4886.505
35583,1084766,100066,1.0,6,-270.0,-279.0,12382.65,12382.65
37734,1950528,100087,1.0,2,-1169.0,-1180.0,7485.615,7485.615
41669,1716930,100042,1.0,3,-1615.0,-1616.0,20150.55,20150.55
44233,1251047,100016,1.0,11,-717.0,-725.0,14480.46,14476.5
45078,1914954,100028,0.0,60,-358.0,-358.0,4500.0,4500.0
46233,1905091,100035,1.0,1,-693.0,-698.0,16819.74,16819.74
46288,2833536,100067,0.0,18,-2170.0,-2175.0,2250.0,2250.0
46855,1748547,100062,1.0,2,-235.0,-240.0,29745.0,29745.0
48197,1595956,100100,0.0,21,-2435.0,-2453.0,4500.0,4500.0
49203,2314167,100045,1.0,5,-1718.0,-1726.0,8334.405,8334.405
50356,2836052,100100,1.0,6,-2881.0,-2894.0,3108.15,3108.15
52051,2421381,100009,1.0,2,-765.0,-780.0,7435.845,7435.845
52475,1185699,100043,1.0,7,-2200.0,-2211.0,5287.815,5287.815
53393,1595956,100100,0.0,106,-486.0,-486.0,483.345,483.345
53800,2833536,100067,0.0,38,-1667.0,-1667.0,450.0,450.0
56444,1137041,100044,1.0,14,-2180.0,-2248.0,12088.8,12088.8
56872,2542713,100068,1.0,1,-131.0,-135.0,7761.465,7761.465
58313,1907290,100008,1.0,5,-2179.0,-2183.0,12144.285,12144.285
59948,1595956,100100,0.0,113,-274.0,-274.0,483.345,483.345
60581,1595956,100100,0.0,18,-2513.0,-2513.0,4500.0,4500.0
61297,2137382,100042,0.0,48,-1764.0,-1764.0,4500.0,4500.0
61532,2403448,100095,1.0,2,-534.0,-552.0,5290.695,5290.695
64351,1914954,100028,0.0,47,-548.0,-548.0,102.87,102.87
64405,1907290,100008,1.0,8,-2089.0,-2091.0,12144.285,12144.285
65772,2088496,100044,1.0,10,-2059.0,-2058.0,22962.33,22962.33
65798,2833536,100067,0.0,46,-1470.0,-1484.0,2250.0,2250.0
67002,2833536,100067,0.0,17,-2200.0,-2205.0,2250.0,2250.0
67724,2243464,100050,1.0,5,-339.0,-350.0,6919.605,6919.605
67818,2833536,100067,0.0,67,-950.0,-950.0,168.345,168.345
68640,1359598,100009,1.0,5,-2818.0,-2841.0,6160.5,6160.5
68988,1319299,100022,1.0,7,-29.0,-51.0,6765.975,6765.975
69717,1189316,100025,1.0,14,-1279.0,-1281.0,23833.575,23833.575
70207,1251047,100016,1.0,6,-867.0,-844.0,14480.46,3.96
71768,2824473,100016,1.0,9,-1055.0,-1061.0,7124.04,7124.04
71816,1231722,100083,1.0,1,-768.0,-798.0,11915.1,11915.1
72132,2628319,100082,0.0,6,-2591.0,-2591.0,15750.0,15750.0
74699,2119973,100007,1.0,4,-2236.0,-2234.0,1834.29,1834.29
75040,2038692,100013,0.0,5,-2632.0,-2644.0,7875.0,7875.0
75299,2462742,100007,1.0,4,-1646.0,-1654.0,3601.53,3601.53
76142,1074770,100020,1.0,4,-121.0,-139.0,5729.265,5729.265
81545,1029269,100039,1.0,3,-1706.0,-1737.0,5074.29,5074.29
81712,2164190,100012,2.0,19,-262.0,-307.0,11057.535,11057.535
84207,1084766,100066,1.0,7,-240.0,-252.0,12382.65,12382.65
86085,2746640,100084,1.0,12,-1114.0,-1138.0,16316.685,2312.325
86244,2672015,100090,1.0,21,-466.0,-472.0,5859.18,5859.18
86429,2203713,100080,1.0,11,-676.0,-677.0,19668.69,19668.69
88888,1595956,100100,0.0,76,-1126.0,-1138.0,4500.0,4500.0
89930,2614080,100092,1.0,10,-453.0,-460.0,5194.215,5194.215
90277,2403448,100095,1.0,4,-474.0,-503.0,5290.695,5290.695
92627,2083316,100063,2.0,2,-1025.0,-1054.0,189971.055,189971.055
95324,1882178,100092,1.0,8,-2145.0,-2149.0,7062.975,7062.975
95956,2216247,100094,1.0,4,-83.0,-144.0,4966.47,4966.47
96924,2829726,100028,2.0,17,-1293.0,-1297.0,5897.52,5897.52
97015,2218188,100008,1.0,6,-189.0,-190.0,17885.835,17885.835
98146,2492683,100043,1.0,25,-469.0,-598.0,10363.275,10363.275
100574,1390161,100090,1.0,6,-407.0,-414.0,24172.65,24172.65
100789,2604725,100042,1.0,5,-1094.0,-1126.0,38934.18,6263.28
100902,2190416,100006,1.0,3,-221.0,-226.0,29027.52,29027.52
101965,2794143,100011,1.0,22,-529.0,-527.0,31295.25,27193.185
103702,1232720,100049,1.0,5,-443.0,-444.0,6103.305,6103.305
106782,2628319,100082,0.0,1,-2633.0,-2658.0,6750.0,6750.0
106965,1914954,100028,0.0,4,-1244.0,-1244.0,143.325,46.8
108408,1684441,100077,2.0,3,-205.0,-209.0,48782.745,48782.745
109186,2833536,100067,0.0,30,-1866.0,-1876.0,2250.0,2250.0
109501,1194857,100061,1.0,16,-229.0,-231.0,44223.12,44223.12
109821,1157409,100097,1.0,2,-2372.0,-2394.0,6744.825,6744.825
110507,2218188,100008,1.0,3,-279.0,-292.0,17885.835,17885.835
110582,1108870,100013,1.0,4,-152.0,-154.0,4742.415,4511.25
111182,1451119,100075,1.0,1,-749.0,-762.0,12630.15,12630.15
113661,1874778,100056,1.0,9,-1896.0,-1893.0,21678.705,21633.03
116092,1585092,100089,1.0,8,-1551.0,-1551.0,13657.455,13657.455
118497,2829726,100028,2.0,7,-1593.0,-1603.0,5897.52,5897.52
118511,2558997,100091,1.0,2,-558.0,-574.0,7078.95,7078.95
118768,2063227,100044,1.0,12,-1162.0,-1164.0,29545.2,29545.2
120960,1914954,100028,0.0,26,-927.0,-927.0,168.705,168.705
121628,1874778,100056,1.0,28,-1326.0,-1340.0,21678.705,21678.705
122641,2824473,100016,1.0,18,-785.0,-784.0,7124.04,7124.04
123313,1709863,100036,1.0,6,-215.0,-230.0,6551.415,6551.415
125873,1108870,100013,1.0,3,-182.0,-196.0,4742.415,4742.415
126492,2467922,100069,1.0,6,-1023.0,-1031.0,17250.795,4289.085
126881,1843384,100011,0.0,31,-1318.0,-1321.0,9000.0,9000.0
129197,1514530,100087,1.0,2,-926.0,-934.0,10841.85,10841.85
129295,1594297,100013,1.0,2,-796.0,-791.0,23153.985,23132.97
