,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
8567,1413109,100009,Consumer loans,8996.76,98239.5,98239.5,0.0,98239.5,SATURDAY,18,Y,1,0.0,,,XAP,Approved,-449,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Regional / Local,164,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-418.0,-88.0,-88.0,-84.0,0.0
13392,2001242,100007,Cash loans,16509.6,180000.0,180000.0,,180000.0,SUNDAY,14,Y,1,,,,XNA,Approved,-865,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Regional / Local,1200,Consumer electronics,18.0,high,Cash Street: high,365243.0,-834.0,-324.0,-354.0,-347.0,0.0
87569,2730157,100007,Cash loans,13010.985,225000.0,284400.0,,225000.0,FRIDAY,13,Y,1,,,,XNA,Approved,-867,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),4,XNA,48.0,middle,Cash X-Sell: middle,,,,,,
98162,2078043,100006,Cash loans,24246.0,675000.0,675000.0,,675000.0,THURSDAY,15,Y,1,,,,XNA,Approved,-181,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,365243.0,-151.0,1259.0,-151.0,-143.0,0.0
268783,2668005,100011,Cash loans,,0.0,0.0,,0.0,WEDNESDAY,9,Y,1,,,,XNA,Refused,-1162,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
320227,2218188,100008,Consumer loans,17885.835,162598.5,162598.5,0.0,162598.5,THURSDAY,10,Y,1,0.0,,,XAP,Approved,-370,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,110,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-339.0,-69.0,-69.0,-66.0,0.0
515622,1430602,100011,Consumer loans,14614.335,135931.5,134446.5,13594.5,135931.5,MONDAY,17,Y,1,0.10001044550926,,,XAP,Approved,-2508,Cash through the bank,XAP,Children,New,Computers,POS,XNA,Country-wide,1371,Consumer electronics,12.0,high,POS household with interest,365243.0,-2477.0,-2147.0,-2147.0,-1186.0,1.0
575941,1810518,100003,Cash loans,98356.995,900000.0,1035882.0,,900000.0,FRIDAY,12,Y,1,,,,XNA,Approved,-746,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-716.0,-386.0,-536.0,-527.0,1.0
600145,1757431,100008,Cash loans,,0.0,0.0,,,FRIDAY,18,Y,1,,,,XNA,Canceled,-82,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
604799,1186888,100008,Consumer loans,8019.09,44455.5,39955.5,4500.0,44455.5,MONDAY,13,Y,1,0.1102430315913462,,,XAP,Approved,-2536,Cash through the bank,XAP,,New,Mobile,POS,XNA,Country-wide,50,Connectivity,6.0,low_normal,POS mobile with interest,365243.0,-2491.0,-2341.0,-2341.0,-2334.0,0.0
