,SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
3815405,2340808,215354,0.0,29,-479.0,-479.0,203.94,203.94
3875768,2829838,215354,3.0,22,-257.0,-263.0,11729.25,11729.25
3887672,2340808,215354,0.0,21,-607.0,-607.0,293056.47,293056.47
3895920,1130982,215354,2.0,5,-194.0,-209.0,50932.26,50932.26
3929188,1130982,215354,1.0,3,-254.0,-262.0,25817.895,25817.895
3972222,1927804,215354,1.0,2,-203.0,-215.0,12750.75,12750.75
3983768,2340808,215354,0.0,40,-297.0,-291.0,16252.92,2077.92
4041955,2829838,215354,3.0,12,-557.0,-558.0,11729.25,11729.25
4043223,2829838,215354,1.0,4,-797.0,-797.0,51081.75,51081.75
4048101,2340808,215354,0.0,31,-450.0,-450.0,1184.04,1184.04
4070522,2829838,215354,1.0,7,-707.0,-740.0,51081.75,51081.75
4094285,2340808,215354,0.0,59,-53.0,-53.0,188.685,188.685
4095294,2340808,215354,0.0,1,-884.0,-884.0,137025.0,137025.0
4112466,2829838,215354,3.0,16,-437.0,-450.0,11729.25,11729.25
4119176,2829838,215354,3.0,13,-527.0,-525.0,11729.25,11531.25
4198310,2829838,215354,1.0,10,-617.0,-628.0,51081.75,838838.25
4198311,2829838,215354,2.0,10,-617.0,-628.0,787756.5,838838.25
4290169,2340808,215354,0.0,16,-662.0,-671.0,19197.765,19197.765
4313316,2340808,215354,0.0,14,-692.0,-692.0,7604.01,7604.01
4327351,1362380,215354,1.0,1,-2548.0,-2552.0,5384.295,5384.295
4331538,1362380,215354,1.0,5,-2428.0,-2477.0,5384.295,5384.295
4397580,2340808,215354,0.0,10,-753.0,-755.0,8932.23,8932.23
4457077,2829838,215354,3.0,18,-377.0,-399.0,11729.25,11729.25
4457537,1927804,215354,1.0,7,-53.0,-61.0,12750.75,12750.75
4486846,2829838,215354,1.0,6,-737.0,-740.0,51081.75,51081.75
4567671,2829838,215354,3.0,17,-407.0,-429.0,11729.25,11729.25
4619136,2340808,215354,0.0,11,-755.0,-755.0,184486.77,184486.77
4669276,2340808,215354,0.0,46,-237.0,-237.0,313.83,313.83
4679073,2340808,215354,0.0,55,-125.0,-125.0,133.065,133.065
4687989,2829838,215354,3.0,25,-167.0,-164.0,11729.25,10977.84
4689360,2340808,215354,0.0,2,-845.0,-864.0,1345.5,1345.5
4714528,1130982,215354,1.0,2,-284.0,-294.0,25817.895,25817.895
4720106,2340808,215354,0.0,19,-632.0,-632.0,154.08,154.08
4777548,2340808,215354,0.0,47,-207.0,-209.0,18948.375,18948.375
4787060,2829838,215354,3.0,11,-587.0,-588.0,11729.25,11729.25
4826957,2829838,215354,1.0,9,-647.0,-740.0,51081.75,51081.75
4848591,1362380,215354,1.0,8,-2338.0,-2342.0,5352.3,5352.3
4879705,2340808,215354,0.0,13,-732.0,-732.0,2.475,2.475
4902985,2340808,215354,0.0,41,-291.0,-291.0,1522.08,1522.08
4962004,2829838,215354,3.0,20,-317.0,-338.0,11729.25,11729.25
4995728,1927804,215354,1.0,3,-173.0,-191.0,12750.75,12750.75
5022064,2340808,215354,0.0,27,-510.0,-510.0,1860.3,1860.3
5056498,2340808,215354,0.0,20,-600.0,-607.0,21943.53,21943.53
5065930,1927804,215354,1.0,1,-233.0,-247.0,12750.75,12750.75
5072299,1927804,215354,1.0,4,-143.0,-164.0,12750.75,12750.75
5238872,2340808,215354,0.0,30,-450.0,-450.0,19065.96,19065.96
5273956,2340808,215354,0.0,49,-176.0,-191.0,18839.97,18839.97
5315625,2340808,215354,0.0,56,-85.0,-94.0,20459.565,20459.565
5321995,2340808,215354,0.0,25,-542.0,-542.0,161943.93,161943.93
5334519,2340808,215354,0.0,9,-786.0,-786.0,125.73,125.73
5381276,1362380,215354,1.0,4,-2458.0,-2477.0,5384.295,5384.295
5386906,2829838,215354,3.0,23,-227.0,-243.0,11729.25,11729.25
5400243,2340808,215354,0.0,34,-388.0,-385.0,18057.51,18057.51
5401421,1362380,215354,1.0,7,-2368.0,-2371.0,5384.295,5384.295
5411959,2340808,215354,0.0,32,-419.0,-434.0,18802.08,18802.08
5454157,2340808,215354,0.0,3,-864.0,-864.0,679.5,679.5
5474680,2829838,215354,3.0,27,-107.0,-107.0,11729.25,11729.25
5483168,2340808,215354,0.0,23,-572.0,-572.0,158.58,158.58
5566659,2340808,215354,0.0,7,-815.0,-815.0,112500.0,112500.0
5603168,1927804,215354,1.0,6,-83.0,-107.0,12750.75,12750.75
5684297,2340808,215354,0.0,33,-434.0,-434.0,12697.92,12697.92
5690378,2340808,215354,0.0,24,-541.0,-542.0,18056.07,18056.07
5702561,1362380,215354,1.0,2,-2518.0,-2527.0,5384.295,5384.295
5766930,2829838,215354,3.0,28,-77.0,-84.0,11729.25,11729.25
5780709,2829838,215354,3.0,19,-347.0,-369.0,11729.25,11729.25
5792570,2829838,215354,3.0,24,-197.0,-209.0,11729.25,11729.25
5822940,2829838,215354,3.0,13,-527.0,-558.0,11729.25,198.0
5827971,2829838,215354,1.0,2,-857.0,-877.0,51081.75,51081.75
5862283,1130982,215354,1.0,1,-314.0,-322.0,25817.895,25817.895
5917056,2340808,215354,0.0,44,-263.0,-263.0,139500.0,139500.0
5950740,2340808,215354,0.0,51,-146.0,-165.0,20981.43,20981.43
6003602,2829838,215354,1.0,3,-827.0,-836.0,51081.75,51081.75
6037337,2340808,215354,0.0,58,-54.0,-53.0,20061.315,20061.315
6114068,2340808,215354,0.0,39,-328.0,-328.0,13139.55,13139.55
6126829,2340808,215354,0.0,4,-836.0,-836.0,59175.0,59175.0
6177986,2340808,215354,0.0,28,-480.0,-479.0,19371.06,19371.06
6321606,2340808,215354,0.0,17,-671.0,-671.0,3302.235,3302.235
6366504,2340808,215354,0.0,22,-572.0,-572.0,6591.42,6591.42
6402849,1362380,215354,1.0,3,-2488.0,-2498.0,5384.295,5384.295
